contig_id	len	cov	place
NODE_11_length_185364_cov_86.4227_ID_1122654	185364	86.4227	Y
NODE_54_length_27274_cov_872.32_ID_1122740	27274	872.32	
NODE_30_length_66342_cov_872.22_ID_1122692	66342	872.22	Y
NODE_45_length_39140_cov_893.894_ID_1122722	39140	893.894	
NODE_36_length_51523_cov_936.232_ID_1122704	51523	936.232	
NODE_24_length_91368_cov_976.164_ID_1122680	91368	976.164	
NODE_39_length_42093_cov_97.0888_ID_1122710	42093	97.0888	Y
NODE_16_length_142279_cov_103.961_ID_1122664	142279	103.961	Y
NODE_60_length_24110_cov_937.65_ID_1122752	24110	937.65	
NODE_50_length_33877_cov_93.2769_ID_1122732	33877	93.2769	
NODE_47_length_34567_cov_828.007_ID_1122726	34567	828.007	
NODE_7_length_241038_cov_99.478_ID_1122646	241038	99.478	
NODE_8_length_216254_cov_98.964_ID_1122648	216254	98.964	
NODE_2_length_369950_cov_95.3433_ID_1122636	369950	95.3433	
NODE_5_length_268256_cov_107.095_ID_1122642	268256	107.095	
NODE_22_length_100595_cov_943.799_ID_1122676	100595	943.799	
NODE_42_length_41417_cov_882.602_ID_1122716	41417	882.602	Y
